FILE	K=1	K=2	K=3	K=4	K=1	K=2	K=3	K=4
../TreeLifeData/COG0292.newick	55.0	44.0	36.0	36.0	62.0	52.7	47.7	44.8
../TreeLifeData/COG0616.newick	73.0	59.0	51.0	51.0	79.6	68.9	63.2	59.8
../TreeLifeData/COG1304.newick	75.0	62.0	54.0	52.0	80.0	70.5	63.9	61.5
../TreeLifeData/COG1247.newick	54.0	38.0	32.0	28.0	56.2	44.4	40.2	39.4
../TreeLifeData/COG0100.newick	109.0	72.0	69.0	66.0	109.6	91.2	84.5	80.4
../TreeLifeData/COG0821.newick	64.0	44.0	44.0	42.0	65.0	52.8	51.2	48.2
../TreeLifeData/COG1162.newick	44.0	29.0	27.0	25.0	44.8	35.8	33.5	29.8
../TreeLifeData/COG2216.newick	20.0	18.0	16.0	16.0	23.2	20.2	19.0	17.4
../TreeLifeData/COG1944.newick	29.0	17.0	16.0	15.0	28.8	22.2	20.3	18.9
../TreeLifeData/COG0256.newick	48.0	33.0	29.0	28.0	50.4	40.6	37.0	34.8
../TreeLifeData/COG0059.newick	50.0	38.0	34.0	34.0	54.4	43.6	40.4	37.8
../TreeLifeData/COG2301.newick	54.0	44.0	40.0	38.0	56.4	48.6	47.4	44.9
../TreeLifeData/COG2264.newick	37.0	26.0	26.0	24.0	38.6	32.4	29.8	26.2
../TreeLifeData/COG1808.newick	29.0	21.0	19.0	18.0	30.4	24.8	22.9	20.8
../TreeLifeData/COG0071.newick	72.0	53.0	49.0	47.0	76.0	65.4	58.8	56.5
../TreeLifeData/COG3505.newick	39.0	28.0	25.0	23.0	40.2	32.9	29.2	29.0
../TreeLifeData/COG0630.newick	44.0	27.0	27.0	24.0	42.2	36.9	31.4	29.8
../TreeLifeData/COG0123.newick	77.0	42.0	42.0	40.0	77.0	56.8	52.5	54.0
../TreeLifeData/COG0736.newick	45.0	31.0	29.0	28.0	46.6	38.1	36.0	32.1
../TreeLifeData/COG1232.newick	26.0	16.0	16.0	14.0	27.8	21.8	18.2	17.6
../TreeLifeData/COG3152.newick	28.0	24.0	20.0	19.0	31.9	27.4	24.6	24.1
../TreeLifeData/COG1284.newick	53.0	43.0	35.0	33.0	58.2	46.4	44.6	41.6
../TreeLifeData/COG1451.newick	58.0	46.0	43.0	42.0	60.9	55.0	48.3	46.0
../TreeLifeData/COG1042.newick	32.0	26.0	22.0	20.0	36.8	30.8	26.8	25.0
../TreeLifeData/COG2089.newick	40.0	28.0	26.0	24.0	40.0	33.4	30.8	28.6
